,GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,classicKS,elimKS
484,GO:0008237,metallopeptidase activity,159,5,7.55,301,0.87971,0.96485,0.96485
458,GO:0022890,inorganic cation transmembrane transport...,186,6,8.83,302,0.88219,0.60194,0.94606
510,GO:0031490,chromatin DNA binding,106,3,5.03,303,0.88548,0.98893,0.98893
247,GO:0046873,metal ion transmembrane transporter acti...,134,4,6.36,304,0.88605,0.56316,0.56316
455,GO:0008235,metalloexopeptidase activity,77,2,3.65,305,0.8867,0.94539,0.94539
359,GO:0004177,aminopeptidase activity,45,1,2.14,306,0.88853,0.81781,0.81781
248,GO:0016773,"phosphotransferase activity, alcohol gro...",290,10,13.76,307,0.889,0.01271,0.56507
511,GO:0016853,isomerase activity,78,2,3.7,308,0.891,0.99008,0.99008
238,GO:0030695,GTPase regulator activity,137,4,6.5,309,0.89598,0.54529,0.54529
239,GO:0060589,nucleoside-triphosphatase regulator acti...,137,4,6.5,310,0.89598,0.54529,0.54529
86,GO:0004527,exonuclease activity,47,1,2.23,311,0.89891,0.04039,0.12778
178,GO:0016407,acetyltransferase activity,47,1,2.23,312,0.89891,0.37218,0.37218
65,GO:0008092,cytoskeletal protein binding,218,7,10.35,313,0.89896,0.08667,0.08667
345,GO:0008234,cysteine-type peptidase activity,80,2,3.8,314,0.89915,0.78531,0.78531
222,GO:0140677,molecular function activator activity,244,8,11.58,315,0.89957,0.50725,0.50725
187,GO:0008757,S-adenosylmethionine-dependent methyltra...,81,2,3.84,316,0.90302,0.13273,0.41185
249,GO:0005342,organic acid transmembrane transporter a...,81,2,3.84,317,0.90302,0.56816,0.56816
250,GO:0046943,carboxylic acid transmembrane transporte...,81,2,3.84,318,0.90302,0.56816,0.56816
205,GO:0015081,sodium ion transmembrane transporter act...,48,1,2.28,319,0.90374,0.45744,0.45744
179,GO:0050839,cell adhesion molecule binding,49,1,2.33,320,0.90833,0.38091,0.38091
419,GO:0030594,neurotransmitter receptor activity,51,1,2.42,321,0.91687,0.90726,0.90726
456,GO:0015267,channel activity,200,6,9.49,322,0.91881,0.94605,0.94605
457,GO:0022803,passive transmembrane transporter activi...,200,6,9.49,323,0.91881,0.94605,0.94605
453,GO:0033218,amide binding,87,2,4.13,324,0.92343,0.94076,0.94076
485,GO:0050660,flavin adenine dinucleotide binding,87,2,4.13,325,0.92343,0.96617,0.96617
508,GO:0060090,molecular adaptor activity,87,2,4.13,326,0.92343,0.98806,0.98806
224,GO:0140098,"catalytic activity, acting on RNA",229,7,10.87,327,0.9237,0.52121,0.52121
389,GO:0004888,transmembrane signaling receptor activit...,232,7,11.01,328,0.92946,0.86633,0.86633
274,GO:0015171,amino acid transmembrane transporter act...,55,1,2.61,329,0.93165,0.62165,0.62165
125,GO:0017111,ribonucleoside triphosphate phosphatase ...,340,11,16.14,330,0.93577,0.2155,0.2155
285,GO:0097367,carbohydrate derivative binding,942,36,44.71,331,0.93622,0.00166,0.64124
344,GO:1901702,salt transmembrane transporter activity,183,5,8.69,332,0.93988,0.78192,0.78192
464,GO:0015075,monoatomic ion transmembrane transporter...,270,8,12.81,333,0.94749,0.71829,0.95061
130,GO:0019899,enzyme binding,189,5,8.97,334,0.9499,0.22951,0.22951
267,GO:0008135,"translation factor activity, RNA binding",62,1,2.94,335,0.95149,0.61143,0.61143
534,GO:0016765,"transferase activity, transferring alkyl...",62,1,2.94,336,0.95149,0.99799,0.99799
413,GO:0004222,metalloendopeptidase activity,64,1,3.04,337,0.95602,0.89982,0.89982
301,GO:0042277,peptide binding,67,1,3.18,338,0.96203,0.68043,0.68043
183,GO:0016462,pyrophosphatase activity,365,11,17.32,339,0.96432,0.39416,0.39416
401,GO:0030674,protein-macromolecule adaptor activity,69,1,3.27,340,0.96558,0.87894,0.87894
196,GO:0016818,"hydrolase activity, acting on acid anhyd...",370,11,17.56,341,0.96844,0.43118,0.43118
525,GO:0015318,inorganic molecular entity transmembrane...,233,6,11.06,342,0.96858,0.67884,0.99565
195,GO:0016817,"hydrolase activity, acting on acid anhyd...",371,11,17.61,343,0.96921,0.4268,0.4268
7,GO:0005524,ATP binding,658,22,31.23,344,0.97313,0.00057,0.00057
528,GO:0022857,transmembrane transporter activity,613,20,29.09,345,0.97567,0.99076,0.99723
363,GO:0032559,adenyl ribonucleotide binding,672,22,31.89,346,0.97972,0.00106,0.82742
477,GO:0030554,adenyl nucleotide binding,726,24,34.46,347,0.98133,0.00702,0.95672
213,GO:0032561,guanyl ribonucleotide binding,157,3,7.45,348,0.98179,0.48755,0.48755
355,GO:0140101,"catalytic activity, acting on a tRNA",82,1,3.89,349,0.98181,0.80728,0.80728
533,GO:0005215,transporter activity,654,21,31.04,350,0.98251,0.99224,0.99783
208,GO:0019001,guanyl nucleotide binding,160,3,7.59,351,0.98376,0.4684,0.4684
188,GO:0043167,ion binding,2205,87,104.65,352,0.98408,0.32137,0.41298
513,GO:0046982,protein heterodimerization activity,126,2,5.98,353,0.98463,0.9904,0.9904
518,GO:0046983,protein dimerization activity,202,4,9.59,354,0.98831,0.99173,0.99173
200,GO:0003924,GTPase activity,135,2,6.41,355,0.98953,0.43692,0.43692
415,GO:0044877,protein-containing complex binding,240,5,11.39,356,0.99052,0.90252,0.90252
469,GO:0019787,ubiquitin-like protein transferase activ...,144,2,6.83,357,0.99289,0.95349,0.95349
272,GO:0017076,purine nucleotide binding,886,28,42.05,358,0.99458,0.0117,0.61851
215,GO:0032553,ribonucleotide binding,841,26,39.92,359,0.99521,0.00385,0.49414
190,GO:0005525,GTP binding,154,2,7.31,360,0.9954,0.41414,0.41414
218,GO:0043168,anion binding,1005,32,47.7,361,0.99633,0.056,0.49745
212,GO:0032555,purine ribonucleotide binding,828,25,39.3,362,0.9964,0.00342,0.48711
137,GO:0005488,binding,5727,247,271.81,363,0.99684,0.09732,0.2393
186,GO:0035639,purine ribonucleoside triphosphate bindi...,811,24,38.49,364,0.99707,0.00197,0.41155
321,GO:0036094,small molecule binding,1071,34,50.83,365,0.99738,0.07374,0.72414
257,GO:0016746,acyltransferase activity,172,2,8.16,366,0.99792,0.58223,0.58223
106,GO:0005515,protein binding,2311,85,109.68,367,0.99844,0.16042,0.16042
398,GO:0004842,ubiquitin-protein transferase activity,133,1,6.31,368,0.99853,0.87632,0.87632
497,GO:0016874,ligase activity,134,1,6.36,369,0.9986,0.98231,0.98231
245,GO:0000166,nucleotide binding,983,29,46.65,370,0.99891,0.01292,0.56023
246,GO:1901265,nucleoside phosphate binding,983,29,46.65,371,0.99891,0.01292,0.56023
338,GO:0016747,"acyltransferase activity, transferring g...",158,1,7.5,372,0.99957,0.75407,0.75407
448,GO:0030527,structural constituent of chromatin,169,1,8.02,373,0.99975,0.9384,0.9384
480,GO:0016740,transferase activity,1070,30,50.78,374,0.99975,0.55417,0.96228
19,GO:0016895,"DNA exonuclease activity, producing 5'-p...",14,0,0.66,375,1,0.0083,0.0083
30,GO:0008239,dipeptidyl-peptidase activity,10,0,0.47,376,1,0.02325,0.02325
51,GO:0003746,translation elongation factor activity,18,0,0.85,377,1,0.05943,0.05943
53,GO:0061733,peptide-lysine-N-acetyltransferase activ...,14,0,0.66,378,1,0.06033,0.06033
55,GO:0019209,kinase activator activity,23,0,1.09,379,1,0.06271,0.06271
56,GO:0030295,protein kinase activator activity,23,0,1.09,380,1,0.06271,0.06271
62,GO:0004402,histone acetyltransferase activity,11,0,0.52,381,1,0.07479,0.07479
64,GO:0019887,protein kinase regulator activity,28,0,1.33,382,1,0.07951,0.07951
69,GO:0015252,proton channel activity,13,0,0.62,383,1,0.09062,0.09062
72,GO:0019904,protein domain specific binding,19,0,0.9,384,1,0.0978,0.0978
74,GO:0034212,peptide N-acetyltransferase activity,19,0,0.9,385,1,0.10164,0.10164
83,GO:0019207,kinase regulator activity,36,0,1.71,386,1,0.11602,0.11602
88,GO:0003714,transcription corepressor activity,27,0,1.28,387,1,0.12941,0.12941
93,GO:0016796,"exonuclease activity, active with either...",31,0,1.47,388,1,0.04314,0.13561
94,GO:0004532,exoribonuclease activity,17,0,0.81,389,1,0.13637,0.13637
95,GO:0016896,"RNA exonuclease activity, producing 5'-p...",17,0,0.81,390,1,0.13637,0.13637
108,GO:0000287,magnesium ion binding,40,0,1.9,391,1,0.16577,0.16577
109,GO:0016273,arginine N-methyltransferase activity,11,0,0.52,392,1,0.16707,0.16707
110,GO:0016274,protein-arginine N-methyltransferase act...,11,0,0.52,393,1,0.16707,0.16707
118,GO:0019905,syntaxin binding,20,0,0.95,394,1,0.18414,0.18414
119,GO:0045296,cadherin binding,15,0,0.71,395,1,0.18573,0.18573
120,GO:0043539,protein serine/threonine kinase activato...,16,0,0.76,396,1,0.18581,0.18581
128,GO:0008374,O-acyltransferase activity,30,0,1.42,397,1,0.22289,0.22289
134,GO:0008139,nuclear localization sequence binding,10,0,0.47,398,1,0.23376,0.23376
135,GO:0005126,cytokine receptor binding,15,0,0.71,399,1,0.23829,0.23829
136,GO:0000175,3'-5'-RNA exonuclease activity,15,0,0.71,400,1,0.23879,0.23879
139,GO:0004725,protein tyrosine phosphatase activity,21,0,1,401,1,0.24622,0.24622
145,GO:0005231,excitatory extracellular ligand-gated mo...,10,0,0.47,402,1,0.25521,0.25521
146,GO:0022848,acetylcholine-gated monoatomic cation-se...,10,0,0.47,403,1,0.25521,0.25521
159,GO:0008138,protein tyrosine/serine/threonine phosph...,12,0,0.57,404,1,0.31107,0.31107
165,GO:0005245,voltage-gated calcium channel activity,11,0,0.52,405,1,0.32279,0.32279
167,GO:0005164,tumor necrosis factor receptor binding,14,0,0.66,406,1,0.32784,0.32784
168,GO:0032813,tumor necrosis factor receptor superfami...,14,0,0.66,407,1,0.32784,0.32784
169,GO:0016790,thiolester hydrolase activity,13,0,0.62,408,1,0.33029,0.33029
177,GO:0016251,RNA polymerase II general transcription ...,16,0,0.76,409,1,0.36262,0.36262
197,GO:0005254,chloride channel activity,22,0,1.04,410,1,0.43157,0.43157
198,GO:0043021,ribonucleoprotein complex binding,39,0,1.85,411,1,0.43313,0.43313
209,GO:0005310,dicarboxylic acid transmembrane transpor...,11,0,0.52,412,1,0.47094,0.47094
214,GO:0016780,"phosphotransferase activity, for other s...",16,0,0.76,413,1,0.49349,0.49349
221,GO:0019208,phosphatase regulator activity,24,0,1.14,414,1,0.50647,0.50647
223,GO:0017069,snRNA binding,20,0,0.95,415,1,0.51729,0.51729
227,GO:0015294,solute:monoatomic cation symporter activ...,20,0,0.95,416,1,0.52642,0.52642
230,GO:0008171,O-methyltransferase activity,14,0,0.66,417,1,0.53653,0.53653
231,GO:0043022,ribosome binding,21,0,1,418,1,0.53718,0.53718
232,GO:0071949,FAD binding,34,0,1.61,419,1,0.5386,0.5386
234,GO:0016701,"oxidoreductase activity, acting on singl...",10,0,0.47,420,1,0.53903,0.53903
240,GO:0051787,misfolded protein binding,18,0,0.85,421,1,0.54873,0.54873
243,GO:0005048,signal sequence binding,22,0,1.04,422,1,0.55869,0.55869
253,GO:0000030,mannosyltransferase activity,20,0,0.95,423,1,0.57217,0.57217
255,GO:0016411,acylglycerol O-acyltransferase activity,12,0,0.57,424,1,0.57454,0.57454
259,GO:0031624,ubiquitin conjugating enzyme binding,16,0,0.76,425,1,0.58489,0.58489
260,GO:0005272,sodium channel activity,20,0,0.95,426,1,0.58561,0.58561
261,GO:0008483,transaminase activity,16,0,0.76,427,1,0.58776,0.58776
262,GO:0016769,"transferase activity, transferring nitro...",16,0,0.76,428,1,0.58776,0.58776
263,GO:0019888,protein phosphatase regulator activity,21,0,1,429,1,0.59033,0.59033
266,GO:0005253,monoatomic anion channel activity,25,0,1.19,430,1,0.60664,0.60664
270,GO:0016298,lipase activity,59,0,2.8,431,1,0.61688,0.61688
273,GO:0016620,"oxidoreductase activity, acting on the a...",35,0,1.66,432,1,0.62127,0.62127
275,GO:0051539,"4 iron, 4 sulfur cluster binding",15,0,0.71,433,1,0.62235,0.62235
277,GO:0008649,rRNA methyltransferase activity,14,0,0.66,434,1,0.62418,0.62418
283,GO:0044390,ubiquitin-like protein conjugating enzym...,17,0,0.81,435,1,0.63911,0.63911
284,GO:0003727,single-stranded RNA binding,11,0,0.52,436,1,0.63933,0.63933
287,GO:0019213,deacetylase activity,10,0,0.47,437,1,0.6461,0.6461
290,GO:0016840,carbon-nitrogen lyase activity,10,0,0.47,438,1,0.64835,0.64835
300,GO:0120227,acyl-CoA binding,10,0,0.47,439,1,0.67351,0.67351
302,GO:0090482,vitamin transmembrane transporter activi...,10,0,0.47,440,1,0.68066,0.68066
304,GO:0004620,phospholipase activity,26,0,1.23,441,1,0.68194,0.68194
305,GO:0015108,chloride transmembrane transporter activ...,34,0,1.61,442,1,0.68204,0.68204
309,GO:0008173,RNA methyltransferase activity,45,0,2.14,443,1,0.68808,0.68808
311,GO:0016409,palmitoyltransferase activity,18,0,0.85,444,1,0.69509,0.69509
313,GO:0140223,general transcription initiation factor ...,21,0,1,445,1,0.69802,0.69802
316,GO:0000049,tRNA binding,33,0,1.57,446,1,0.70543,0.70543
318,GO:0015280,ligand-gated sodium channel activity,16,0,0.76,447,1,0.71156,0.71156
324,GO:0004112,cyclic-nucleotide phosphodiesterase acti...,10,0,0.47,448,1,0.72821,0.72821
325,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesteras...",10,0,0.47,449,1,0.72821,0.72821
326,GO:0015926,glucosidase activity,12,0,0.57,450,1,0.72821,0.72821
327,GO:0031625,ubiquitin protein ligase binding,33,0,1.57,451,1,0.73294,0.73294
333,GO:0015293,symporter activity,33,0,1.57,452,1,0.74544,0.74544
346,GO:0005179,hormone activity,18,0,0.85,453,1,0.78957,0.78957
351,GO:0003725,double-stranded RNA binding,11,0,0.52,454,1,0.79558,0.79558
353,GO:0016763,pentosyltransferase activity,15,0,0.71,455,1,0.80009,0.80009
354,GO:0004721,phosphoprotein phosphatase activity,60,0,2.85,456,1,0.80109,0.80109
356,GO:0016782,"transferase activity, transferring sulph...",35,0,1.66,457,1,0.80835,0.80835
360,GO:0031491,nucleosome binding,78,0,3.7,458,1,0.82096,0.82096
361,GO:0008047,enzyme activator activity,106,0,5.03,459,1,0.82272,0.82272
364,GO:0044389,ubiquitin-like protein ligase binding,34,0,1.61,460,1,0.82886,0.82886
365,GO:0016671,"oxidoreductase activity, acting on a sul...",10,0,0.47,461,1,0.83002,0.83002
368,GO:0032266,phosphatidylinositol-3-phosphate binding,10,0,0.47,462,1,0.83604,0.83604
371,GO:0008175,tRNA methyltransferase activity,16,0,0.76,463,1,0.84111,0.84111
373,GO:0016903,"oxidoreductase activity, acting on the a...",41,0,1.95,464,1,0.84415,0.84415
374,GO:0008320,protein transmembrane transporter activi...,14,0,0.66,465,1,0.84559,0.84559
375,GO:0022884,macromolecule transmembrane transporter ...,14,0,0.66,466,1,0.84559,0.84559
376,GO:0140318,protein transporter activity,14,0,0.66,467,1,0.84559,0.84559
377,GO:0034593,phosphatidylinositol bisphosphate phosph...,10,0,0.47,468,1,0.84748,0.84748
378,GO:0015370,solute:sodium symporter activity,14,0,0.66,469,1,0.84861,0.84861
379,GO:0005385,zinc ion transmembrane transporter activ...,15,0,0.71,470,1,0.85141,0.85141
381,GO:0022840,leak channel activity,10,0,0.47,471,1,0.85435,0.85435
382,GO:0022841,potassium ion leak channel activity,10,0,0.47,472,1,0.85435,0.85435
383,GO:0022842,narrow pore channel activity,10,0,0.47,473,1,0.85435,0.85435
385,GO:0099529,neurotransmitter receptor activity invol...,20,0,0.95,474,1,0.85974,0.85974
386,GO:1904315,transmitter-gated monoatomic ion channel...,20,0,0.95,475,1,0.85974,0.85974
388,GO:0030145,manganese ion binding,13,0,0.62,476,1,0.86406,0.86406
390,GO:0031072,heat shock protein binding,32,0,1.52,477,1,0.86702,0.86702
391,GO:0016646,"oxidoreductase activity, acting on the C...",10,0,0.47,478,1,0.86702,0.86702
397,GO:0015103,inorganic anion transmembrane transporte...,47,0,2.23,479,1,0.87507,0.87507
402,GO:0003755,peptidyl-prolyl cis-trans isomerase acti...,28,0,1.33,480,1,0.88388,0.88388
403,GO:0051537,"2 iron, 2 sulfur cluster binding",21,0,1,481,1,0.88872,0.88872
405,GO:0031492,nucleosomal DNA binding,64,0,3.04,482,1,0.89186,0.89186
406,GO:0005484,SNAP receptor activity,25,0,1.19,483,1,0.89368,0.89368
407,GO:0042887,amide transmembrane transporter activity,13,0,0.62,484,1,0.89414,0.89414
408,GO:1901682,sulfur compound transmembrane transporte...,20,0,0.95,485,1,0.89568,0.89568
411,GO:0140662,ATP-dependent protein folding chaperone,30,0,1.42,486,1,0.89693,0.89693
418,GO:0019900,kinase binding,37,0,1.76,487,1,0.90407,0.90407
421,GO:0019901,protein kinase binding,33,0,1.57,488,1,0.91402,0.91402
423,GO:0016651,"oxidoreductase activity, acting on NAD(P...",18,0,0.85,489,1,0.91554,0.91554
425,GO:0008509,monoatomic anion transmembrane transport...,39,0,1.85,490,1,0.91793,0.91793
426,GO:0015116,sulfate transmembrane transporter activi...,12,0,0.57,491,1,0.9193,0.9193
427,GO:0098960,postsynaptic neurotransmitter receptor a...,24,0,1.14,492,1,0.92062,0.92062
430,GO:0061659,ubiquitin-like protein ligase activity,101,0,4.79,493,1,0.92275,0.92275
432,GO:0061631,ubiquitin conjugating enzyme activity,10,0,0.47,494,1,0.92432,0.92432
433,GO:0009055,electron transfer activity,18,0,0.85,495,1,0.92495,0.92495
435,GO:0030159,signaling receptor complex adaptor activ...,11,0,0.52,496,1,0.92582,0.92582
437,GO:0005200,structural constituent of cytoskeleton,16,0,0.76,497,1,0.92742,0.92742
439,GO:0016645,"oxidoreductase activity, acting on the C...",19,0,0.9,498,1,0.92882,0.92882
440,GO:0042803,protein homodimerization activity,10,0,0.47,499,1,0.92998,0.92998
442,GO:0005096,GTPase activator activity,61,0,2.9,500,1,0.93163,0.93163
443,GO:0052866,phosphatidylinositol phosphate phosphata...,14,0,0.66,501,1,0.93213,0.93213
444,GO:0016859,cis-trans isomerase activity,29,0,1.38,502,1,0.93228,0.93228
447,GO:0048029,monosaccharide binding,12,0,0.57,503,1,0.93798,0.93798
454,GO:0019783,ubiquitin-like protein peptidase activit...,48,0,2.28,504,1,0.94501,0.94501
461,GO:0044183,protein folding chaperone,51,0,2.42,505,1,0.94763,0.94763
462,GO:0005230,extracellular ligand-gated monoatomic io...,44,0,2.09,506,1,0.94805,0.94805
463,GO:0061630,ubiquitin protein ligase activity,96,0,4.56,507,1,0.95018,0.95018
466,GO:0016877,"ligase activity, forming carbon-sulfur b...",43,0,2.04,508,1,0.95189,0.95189
470,GO:0101005,deubiquitinase activity,40,0,1.9,509,1,0.95401,0.95401
473,GO:0004843,cysteine-type deubiquitinase activity,38,0,1.8,510,1,0.95626,0.95626
486,GO:0008188,neuropeptide receptor activity,20,0,0.95,511,1,0.96621,0.96621
490,GO:0003995,acyl-CoA dehydrogenase activity,11,0,0.52,512,1,0.97451,0.97451
491,GO:0052890,"oxidoreductase activity, acting on the C...",11,0,0.52,513,1,0.97451,0.97451
493,GO:0015923,mannosidase activity,12,0,0.57,514,1,0.98025,0.98025
494,GO:0070003,threonine-type peptidase activity,10,0,0.47,515,1,0.98074,0.98074
495,GO:0016627,"oxidoreductase activity, acting on the C...",37,0,1.76,516,1,0.98102,0.98102
496,GO:0004559,alpha-mannosidase activity,11,0,0.52,517,1,0.98189,0.98189
499,GO:0016814,"hydrolase activity, acting on carbon-nit...",15,0,0.71,518,1,0.98338,0.98338
500,GO:0008146,sulfotransferase activity,22,0,1.04,519,1,0.9834,0.9834
501,GO:0004312,fatty acid synthase activity,27,0,1.28,520,1,0.98552,0.98552
502,GO:0016878,acid-thiol ligase activity,35,0,1.66,521,1,0.98576,0.98576
503,GO:0046915,transition metal ion transmembrane trans...,21,0,1,522,1,0.98606,0.98606
505,GO:0016881,acid-amino acid ligase activity,10,0,0.47,523,1,0.98706,0.98706
506,GO:0061650,ubiquitin-like protein conjugating enzym...,13,0,0.62,524,1,0.98712,0.98712
509,GO:0004659,prenyltransferase activity,17,0,0.81,525,1,0.98807,0.98807
512,GO:0009922,fatty acid elongase activity,18,0,0.85,526,1,0.99033,0.99033
514,GO:0016405,CoA-ligase activity,32,0,1.52,527,1,0.99138,0.99138
516,GO:0022824,transmitter-gated monoatomic ion channel...,28,0,1.33,528,1,0.99173,0.99173
517,GO:0022835,transmitter-gated channel activity,28,0,1.33,529,1,0.99173,0.99173
520,GO:0016879,"ligase activity, forming carbon-nitrogen...",31,0,1.47,530,1,0.99269,0.99269
521,GO:0015645,fatty acid ligase activity,31,0,1.47,531,1,0.99303,0.99303
522,GO:0051536,iron-sulfur cluster binding,42,0,1.99,532,1,0.99392,0.99392
523,GO:0051540,metal cluster binding,42,0,1.99,533,1,0.99392,0.99392
526,GO:0004722,protein serine/threonine phosphatase act...,26,0,1.23,534,1,0.99581,0.99581
527,GO:0051082,unfolded protein binding,55,0,2.61,535,1,0.99584,0.99584
529,GO:0042302,structural constituent of cuticle,38,0,1.8,536,1,0.99755,0.99755
530,GO:0005214,structural constituent of chitin-based c...,37,0,1.76,537,1,0.99762,0.99762
531,GO:0008010,structural constituent of chitin-based l...,37,0,1.76,538,1,0.99762,0.99762
535,GO:0004467,long-chain fatty acid-CoA ligase activit...,27,0,1.28,539,1,0.99817,0.99817
536,GO:0140296,general transcription initiation factor ...,13,0,0.62,540,1,0.99894,0.99894
537,GO:0016866,intramolecular transferase activity,15,0,0.71,541,1,0.99927,0.99927
538,GO:0008528,G protein-coupled peptide receptor activ...,34,0,1.61,542,1,0.99954,0.99954
539,GO:0080019,fatty-acyl-CoA reductase (alcohol-formin...,21,0,1,543,1,0.99988,0.99988
540,GO:0004970,ionotropic glutamate receptor activity,18,0,0.85,544,1,0.99999,0.99999
541,GO:0003674,molecular_function,8470,402,402,545,1,1,1
546,GO:0004529,DNA exonuclease activity,14,0,0.66,546,1,0.0083,1
